Name,Type
Adenoviridae,Eukaryote
Anelloviridae,Eukaryote
Hepadnaviridae,Eukaryote
Herpesviridae,Eukaryote
Parvoviridae,Eukaryote
Inoviridae,Bacteria
Myoviridae,Bacteria
Podoviridae,Bacteria
Siphoviridae,Bacteria
Retroviridae,Eukaryote
Polyomaviridae,Eukaryote
