Sample	Tax.ID	Genome.Size	Bin.Size	Hits.per.Bin	Obs.CV	Sim.CV	Total.Hits	Delta.CV
GU22	216595	6722539	1000	0.00118976799524093	28.9762811597653	28.9741241425933	8	0.00215701717199934
GU22	232721	4585154	1000	0.00239808153477218	20.398301666049	20.3960731937545	11	0.00222847229443701
GU22	340100	5287950	1000	0.00113442994895065	29.6760258302414	29.6732175939968	6	0.00280823624459714
GU22	358220	5196935	1000	0.0036552520200077	18.9483870594103	16.5099595711781	19	2.43842748823225
GU22	391735	5597943	1000	0.000893016610108948	33.4514552313022	33.448465690765	5	0.00298954053721445
GU22	398578	6767514	1000	0.000886393854335943	38.7742740683118	33.5733010518779	6	5.20097301643396
GU22	435590	5163189	1000	0.00135527589545015	27.1477408639414	27.1451096302945	7	0.00263123364688767
GU22	535289	3796573	1000	0.00184307530279094	23.274751555541	23.271682422417	7	0.00306913312399715
GU22	553199	2495334	1000	0.013215859030837	8.64271839160465	8.64096510874605	33	0.00175328285859777
GU22	643561	5482170	1000	0.000911743253099927	33.1058885108748	33.1028677619909	5	0.00302074888389825
GU22	1037911	6019547	1000	0.000830426839395449	34.6900542967236	34.6871715060129	5	0.00288279071069297
GU22	1091045	2488626	1000	0.00441767068273092	15.015131708084	15.0121041487661	11	0.00302755931796383
GU22	1114969	2498766	1000	0.0128	8.78384097903292	8.78206195547218	32	0.00177902356074
GU22	1134454	2549775	1000	0.00627205017640141	12.5896637108757	12.5871812654267	16	0.00248244544900977
GU22	1167634	6916670	1000	0.000722752240531946	55.1666558623961	37.1833280426349	5	17.9833278197612
GU22	1286170	5398151	1000	0.00111111111111111	29.9861053209165	29.9833261267298	6	0.00277919418672923
GU22	1415630	7012672	1000	0.00071285999429712	37.4432889304096	37.4406181293775	5	0.0026708010321741
