Sample	Tax.ID	Genome.Size	Bin.Size	Hits.per.Bin	Obs.CV	Sim.CV	Total.Hits	Delta.CV
HUZ603273.AF	1311	1838867	1000	0.103804347826087	5.35939636329369	3.09856759084359	191	2.26082877245009
HUZ603273.AF	2829	198060	1000	0.03	6.60778012918276	5.68587060872164	6	0.921909520461123
HUZ603273.AF	2839	119704	1000	0.190082644628099	3.27937262507857	2.27328593589177	23	1.00608668918679
HUZ603273.AF	2850	194725	1000	0.127551020408163	3.71613474404487	2.80041073018441	25	0.915724013860465
HUZ603273.AF	5905	47496	1000	0.102040816326531	3.60347054934545	2.9636090706104	5	0.639861478735047
HUZ603273.AF	5911	152354523	1000	4.59450234975977e-05	201.047867168834	147.52675300269	7	53.5211141661432
HUZ603273.AF	5932	59512964	1000	0.00011761938367443	125.653069461935	92.2008675967701	7	33.4522018651651
HUZ603273.AF	31964	3403786	1000	0.00234948604992658	20.6094576092985	20.6064247960177	8	0.00303281328074334
HUZ603273.AF	35128	172641	1000	0.120689655172414	3.47705195408074	2.84065471336247	21	0.636397240718262
HUZ603273.AF	40041	2149868	1000	0.00232450023245002	24.5267132962466	20.7171336756278	5	3.80957962061883
HUZ603273.AF	55529	1128485	1000	0.00530973451327434	13.6930369854051	13.6869497903166	6	0.00608719508852573
HUZ603273.AF	60481	4799109	1000	0.00333263903353468	19.3431139670609	17.293417957327	16	2.04969600973391
HUZ603273.AF	62928	4376040	1000	0.00342622201918684	18.1619813504128	17.0548073393423	15	1.10717401107047
HUZ603273.AF	62977	3598621	1000	0.00194444444444444	25.6984033831857	22.655804467247	7	3.04259891593875
HUZ603273.AF	69328	5966222	1000	0.000837801608579088	34.53693480796	34.5340392353227	5	0.0028955726373141
HUZ603273.AF	75379	3462095	1000	0.00346420323325635	18.3268856958186	16.96073117195	12	1.36615452386863
HUZ603273.AF	76869	6078430	1000	0.00115131578947368	29.4569880455156	29.4545631023038	7	0.0024249432118495
HUZ603273.AF	78245	5625098	1000	0.0023102896747823	25.134310614134	20.7809044496044	13	4.35340616452959
HUZ603273.AF	85643	4574586	1000	0.00218531468531469	21.3705358678412	21.3681960688234	10	0.00233979901782178
HUZ603273.AF	94122	5251146	1000	0.000951837045497811	32.4006149274528	32.3975284188172	5	0.00308650863559023
HUZ603273.AF	96563	4547930	1000	0.00241811387118048	20.3134478547661	20.3112100726035	11	0.002237782162549
HUZ603273.AF	101510	9702737	1000	0.00164880461665293	27.5173223622998	24.6069076352645	16	2.91041472703528
HUZ603273.AF	114615	7456587	1000	0.00120675784392599	31.8111694439732	28.7691944177924	9	3.0419750261808
HUZ603273.AF	122587	2184406	1000	0.00228728270814273	20.8901803215596	20.8853928308671	5	0.00478749069254647
HUZ603273.AF	137722	7599738	1000	0.000789369819760558	35.5808922084716	35.5785500501325	6	0.00234215833916096
HUZ603273.AF	159087	4501104	1000	0.00133244503664224	27.3800380124599	27.3769942626278	6	0.00304374983206301
HUZ603273.AF	160490	1852441	1000	0.174757281553398	5.79033930685481	2.38726165427406	324	3.40307765258074
HUZ603273.AF	160491	1841271	1000	0.19750406945198	5.78437142880325	2.24679402705501	364	3.53757740174824
HUZ603273.AF	160619	140426	1000	0.211267605633803	2.92005375772271	2.16174532661525	30	0.758308431107468
HUZ603273.AF	164756	5920523	1000	0.00135089496791624	27.1914481449758	27.1891495305746	8	0.00229861440119805
HUZ603273.AF	171101	2038615	1000	0.00980392156862745	16.2582155638389	10.0498524295993	20	6.20836313423968
HUZ603273.AF	176279	2643840	1000	0.00226843100189036	20.9761694506165	20.972196309282	6	0.00397314133454074
HUZ603273.AF	176280	2564615	1000	0.00350740452065472	16.8588812107105	16.8555855558499	9	0.0032956548605263
HUZ603273.AF	179408	8272254	1000	0.00350495528160503	16.8625238585207	16.8615013597974	29	0.0010224987232732
HUZ603273.AF	186103	1895017	1000	0.114391143911439	7.05876593909566	2.94557071770344	217	4.11319522139222
HUZ603273.AF	190650	4016947	1000	0.00149328023892484	25.8618082484901	25.8585857920217	6	0.00322245646837516
HUZ603273.AF	193567	1894275	1000	0.0759493670886076	9.42529609036701	3.63014044137994	144	5.79515564898707
HUZ603273.AF	195103	3256683	1000	0.00521792510742787	29.8306602174442	13.8074896257219	17	16.0231705917224
HUZ603273.AF	196162	5293685	1000	0.000944287063267233	32.5299838439175	32.5269096112278	5	0.00307423268969842
HUZ603273.AF	196164	3219505	1000	0.0108661906240298	10.0785742301107	9.54087363132744	35	0.53770059878328
HUZ603273.AF	198466	1900521	1000	0.026813880126183	10.034824117831	6.0830241402727	51	3.95179997755828
HUZ603273.AF	204773	3424307	1000	0.00671336835960304	14.1359758098102	12.1637265005896	23	1.97224930922059
HUZ603273.AF	205913	2389526	1000	0.00794646591384358	11.1756136499811	11.1732586432417	19	0.00235500673945133
HUZ603273.AF	205918	6093698	1000	0.000820344544708778	34.9027200762825	34.8998548521593	5	0.00286522412318391
HUZ603273.AF	205921	2127839	1000	0.375763269140442	3.59412741786555	1.62952036602937	800	1.96460705183618
HUZ603273.AF	205922	6438405	1000	0.00403726708074534	16.302970078412	15.7064368441321	26	0.596533234279894
HUZ603273.AF	207559	3730232	1000	0.00160771704180064	35.2609295772279	24.9198671061111	6	10.3410624711168
HUZ603273.AF	208435	2160267	1000	5.16096207215541	0.789924967649008	0.438959760032931	11158	0.350965207616077
HUZ603273.AF	208596	2685399	1000	0.00223297357647934	21.1423671746878	21.1384252716966	6	0.00394190299123665
HUZ603273.AF	208963	6537648	1000	0.00152928582352042	27.9964259397921	25.5519052581636	10	2.44452068162855
HUZ603273.AF	208964	6264404	1000	0.0017555059048835	25.9290167017337	23.8460944078251	11	2.08292229390854
HUZ603273.AF	210007	2032925	1000	0.00835791543756145	13.2301781148378	10.8925018084062	17	2.33767630643161
HUZ603273.AF	211110	2211485	1000	4.10167193854496	0.809701106227354	0.494722597909387	9077	0.314978508317967
HUZ603273.AF	216595	6722539	1000	0.0138310529446758	8.44462437372184	8.48908640827784	93	-0.0444620345559947
HUZ603273.AF	216596	7751309	1000	0.00116084096478782	40.3284343128303	29.3333313785513	9	10.9951029342791
HUZ603273.AF	218495	1852352	1000	0.0399137001078749	11.597407683836	5.00784075663158	74	6.58956692720437
HUZ603273.AF	220341	5133713	1000	0.00175267770204479	56.8575211000011	23.8653594648004	9	32.9921616352007
HUZ603273.AF	220664	7074893	1000	0.00183719615602035	23.3106088490708	23.3089588317242	13	0.00165001734665182
HUZ603273.AF	223283	6538260	1000	0.00259938837920489	20.7130634864584	19.5884082660675	17	1.12465522039091
HUZ603273.AF	224911	9105828	1000	0.00120786208411112	31.265721749647	28.7560253001671	11	2.50969644947986
HUZ603273.AF	226185	3359974	1000	0.00416542695626302	20.2650736048961	15.4619258867907	14	4.80314771810535
HUZ603273.AF	226186	6293399	1000	0.0177918983320095	7.88929110522642	7.49725728330821	112	0.392033821918205
