Sample	Tax.ID	Genome.Size	Bin.Size	Hits.per.Bin	Obs.CV	Sim.CV	Total.Hits	Delta.CV
GU46	5823	26153503	1000	0.000649971324794494	39.2120925137663	39.2113424378378	17	0.000750075928500848
GU46	5911	152354523	1000	3.28178739268555e-05	206.540456074044	174.557153948926	5	31.9833021251182
GU46	5932	59512964	1000	8.40138454817354e-05	129.08601778621	109.095371059259	5	19.9906467269516
GU46	10798	5596	1000	6.28571428571429	0.593235513650057	0.225876975726313	44	0.367358537923745
GU46	12417	43785	1000	0.111111111111111	2.86038776773678	3.15945293637092	5	-0.299065168634147
GU46	31271	25273362	1000	0.00019782393669634	71.0928967502866	71.0914901260739	5	0.00140662421271998
GU46	35128	172641	1000	0.0517241379310345	4.29410134467987	4.28114066279969	9	0.0129606818801804
GU46	40041	2149868	1000	0.00232450023245002	24.5267132962466	20.7171336756278	5	3.80957962061883
GU46	69328	5966222	1000	0.00100536193029491	31.5251200422192	31.5224765363741	6	0.00264350584511064
GU46	72197	5028	1000	1	1.15470053837925	1.04582503316759	7	0.108875505211657
GU46	76869	6078430	1000	0.000986842105263158	31.8198029993281	31.8171839770089	6	0.00261902231925148
GU46	85643	4574586	1000	0.00131118881118881	27.6013251707952	27.5983058262184	6	0.00301934457675301
GU46	96563	4547930	1000	0.00153879973620576	25.4754747067471	25.4726707345305	7	0.00280397221661488
GU46	171101	2038615	1000	0.00490196078431373	25.536633813077	14.247791351314	10	11.288842461763
GU46	176279	2643840	1000	0.0120982986767486	9.31960852681528	9.03636450491892	32	0.28324402189636
GU46	176280	2564615	1000	0.0132501948558067	8.88486346254797	8.62961237198639	34	0.255251090561574
GU46	189423	2240045	1000	0.00223015165031222	28.3985864861829	21.1518236295867	5	7.24676285659616
GU46	195103	3256683	1000	0.00184162062615101	23.2844671574741	23.280887956911	6	0.00357920056312366
GU46	203275	3405521	1000	0.0164367478720282	9.94883444683125	7.8055739248661	56	2.14326052196515
GU46	204773	3424307	1000	0.00379451255107998	17.4118158609865	16.2030303322631	13	1.20878552872339
GU46	205913	2389526	1000	0.00209117524048515	21.8494774599295	21.8449002087868	5	0.00457725114266339
GU46	205922	6438405	1000	0.00279503105590062	18.8900287627545	18.8885582054151	18	0.00147055733940249
GU46	208963	6537648	1000	0.00107050007646429	30.5497231277801	30.5473849293374	7	0.002338198442704
GU46	216595	6722539	1000	0.00936942296252231	10.4467530051896	10.3651019041484	63	0.0816511010411656
GU46	220341	5133713	1000	0.00292112950340798	67.0511245923143	18.4752036931489	15	48.5759208991654
GU46	224911	9105828	1000	0.000768639508070715	40.8888477403872	36.0555114491558	7	4.83333629123145
GU46	226185	3359974	1000	0.00208271347813151	24.8296186262961	21.8893262108469	7	2.94029241544913
GU46	226186	6293399	1000	0.00492454328832407	15.1096875043269	14.214934482731	31	0.894753021595946
GU46	232721	4585154	1000	0.00937431872683671	11.2048289814054	10.2797959889433	43	0.925032992462103
GU46	234621	6895538	1000	0.00739451935624184	12.2542687066268	11.5859894669722	51	0.66827923965455
GU46	235279	1799146	1000	0.0172126596335369	8.03921745118423	7.6811107507698	31	0.358106700414434
GU46	245014	3601020	1000	0.00222037191229531	21.2014093182364	21.1984611944344	8	0.00294812380197484
GU46	245018	3114788	1000	0.00641848523748395	12.4438617407972	12.4418525520173	20	0.00200918877990652
GU46	246198	2699437	1000	0.0273972602739726	8.6023467943562	6.04037425339449	74	2.56197254096171
GU46	257314	1992676	1000	0.0692076228686058	5.45877117477126	3.79528108114061	138	1.66349009363065
GU46	259536	2650701	1000	0.00377073906485671	17.8145914365105	16.2542197714119	10	1.56037166509855
GU46	264731	3619559	1000	0.00220933443800055	21.2544056206541	21.251464848817	8	0.00294077183714236
GU46	266264	6913352	1000	0.00144613159797542	26.2792669195572	26.2773642097243	10	0.00190270983282659
GU46	266779	4935185	1000	0.00101276078590237	42.1506805442137	31.4070030071735	5	10.7436775370402
GU46	267747	2560265	1000	0.00273224043715847	19.1087027935485	19.1049644118635	7	0.00373838168495055
GU46	269482	8391070	1000	0.000714881448826403	37.3898368637666	37.3876080275347	6	0.00222883623188608
GU46	272563	4298133	1000	0.0013953488372093	26.7550582038201	26.7519433458214	6	0.00311485799877786
GU46	272621	1993560	1000	0.237593984962406	5.55172499122114	2.05008757297998	474	3.50163741824116
GU46	278197	1832387	1000	0.0152671755725191	15.5697750196519	8.03115643249271	28	7.53861858715915
GU46	290340	5226648	1000	0.00114766641162969	34.0734478912828	29.5014096929997	6	4.57203819828309
GU46	290402	6000632	1000	0.000833055648117294	34.6352402429792	34.632352889555	5	0.00288735342422086
GU46	295405	5310990	1000	0.00922439759036145	15.0639006431841	10.3637820695311	49	4.70011857365304
GU46	296543	50653434	1000	0.000138189714736946	85.062162044295	85.0613223181177	7	0.000839726177346733
GU46	296591	5898676	1000	0.00135593220338983	27.1408336583417	27.1385307569261	8	0.00230290141559308
GU46	306537	2476822	1000	0.00605326876513317	13.6492435325515	12.8140400751647	15	0.835203457386855
GU46	314315	1884661	1000	0.00265111346765642	22.9643118346084	19.3958649039312	5	3.5684469306772
GU46	318167	4845257	1000	0.00123787910047452	28.407742395989	28.4048087713103	6	0.00293362467862579
GU46	321956	1856951	1000	0.0651237890204521	12.026496523735	3.92046796377876	121	8.10602855995623
GU46	321967	2924325	1000	0.01161995898838	20.72295550511	9.22271606365992	34	11.50023944145
GU46	322159	1864178	1000	0.00857449088960343	12.0357334922742	10.752883197048	16	1.28285029522625
GU46	324831	1894360	1000	0.969409282700422	2.41894939269408	1.01459961958142	1838	1.40434977311267
GU46	326425	2225962	1000	0.215087561742254	4.91524262427682	2.15379973693768	479	2.76144288733913
GU46	331271	7279116	1000	0.00178546902897954	23.646431429659	23.6448048472222	13	0.00162658243680269
GU46	334413	1986740	1000	0.182092555331992	2.83648575794229	2.34360028910874	362	0.492885468833548
GU46	335541	2936195	1000	0.00204220558202859	38.321010291461	22.1057997555797	6	16.2152105358813
GU46	339670	7528567	1000	0.00318725099601594	21.0603435267504	17.6847355846076	24	3.37560794214281
GU46	340100	5287950	1000	0.00094535829079221	32.5115340873677	32.5084581099359	5	0.00307597743179855
GU46	340322	3363299	1000	0.00208023774145617	21.905635988449	21.9023750045471	7	0.003260983901896
GU46	349519	1896614	1000	0.00263435194942044	23.0373527223366	19.4576354693748	5	3.57971725296177
GU46	349741	2664102	1000	0.00225056264066016	21.0594322645357	21.0554748348386	6	0.00395742969707769
GU46	351348	4779762	1000	0.00146412884333821	26.1178612796735	26.1151262804507	7	0.00273499922275988
GU46	352914	33171704	1000	0.00123594489494468	41.4236319332168	28.4270563295619	41	12.996575603655
GU46	357544	1605736	1000	0.00373366521468575	23.1300580390538	16.3350180325133	6	6.7950400065405
GU46	357809	4847594	1000	0.00103114044132811	36.837478896976	31.1255495525694	5	5.71192934440656
GU46	358220	5196935	1000	0.00884955752212389	11.0385473942081	10.5829963492427	46	0.455551044965315
GU46	360107	1714951	1000	0.0034965034965035	16.8868641481483	16.8819286163595	6	0.00493553178885975
GU46	365044	5366143	1000	0.00484351713859911	15.4035402656081	14.3339233732646	26	1.06961689234346
GU46	365046	4070193	1000	0.00368369351669941	17.513924480177	16.4458638370393	15	1.06806064313772
GU46	365659	2146611	1000	0.00465549348230913	17.3164545863488	14.6218870401565	10	2.69456754619226
GU46	367928	2089645	1000	0.00430416068866571	15.2132842982295	15.2096320739212	9	0.00365222430830947
GU46	370554	1937111	1000	0.0185662712738525	10.7591251651189	7.37366440790956	36	3.38546075720932
GU46	373153	2046115	1000	0.0087890625	15.0554386328283	10.6196664812261	18	4.43577215160215
GU46	373384	4574284	1000	0.00131118881118881	27.6013251707952	27.5983058262184	6	0.00301934457675301
GU46	375286	4110251	1000	0.00194552529182879	22.6522578820834	22.6494986060315	8	0.00275927605190063
GU46	376686	6096872	1000	0.000819940964250574	41.3124664224872	34.9084498190109	5	6.40401660347631
GU46	379731	4567418	1000	0.00153206390895163	25.5314894829192	25.5286916631556	7	0.00279781976360027
GU46	381666	7416678	1000	0.00121326503100566	31.725674177277	28.6918473152438	9	3.03382686203322
GU46	381754	6588339	1000	0.00106221547799697	30.6687348693174	30.6664057450801	7	0.00232912423729559
GU46	384676	5888780	1000	0.00169779286926995	30.6848473576321	24.248708154183	10	6.43613920344914
GU46	387344	2340228	1000	0.00512382578992314	21.3209518836725	13.9343559208445	12	7.38659596282795
GU46	388919	2388435	1000	0.00251046025104603	19.9373932894703	19.9332130968962	6	0.00418019257404723
GU46	390235	5774330	1000	0.000865650969529086	33.9764604023412	33.9735170603202	5	0.00294334202099833
GU46	390333	1864998	1000	0.166666666666667	10.4977975476386	2.44738310270275	311	8.05041444493582
GU46	391008	4573969	1000	0.00174863387978142	23.8956022878971	23.8929865998272	8	0.00261568806992685
GU46	391295	2096309	1000	0.00428979980934223	19.6901832175722	15.2351792579838	9	4.45500395958833
