Sample	Tax.ID	Genome.Size	Bin.Size	Hits.per.Bin	Obs.CV	Sim.CV	Total.Hits	Delta.CV
HUZ695379.AF	394	6891900	1000	0.00116059770781953	35.9391831029824	29.3364086592545	8	6.60277444372784
HUZ695379.AF	2762	187156	1000	0.0476190476190476	5.43041082259231	4.4716044752954	9	0.958806347296905
HUZ695379.AF	2839	119704	1000	0.115702479338843	3.38252813715414	2.97822659442575	14	0.404301542728389
HUZ695379.AF	2850	194725	1000	0.0663265306122449	5.3044926467493	3.9045166707006	13	1.3999759760487
HUZ695379.AF	5518	95676	1000	0.0721649484536082	4.58169420288036	3.58442747182195	7	0.997266731058411
HUZ695379.AF	31964	3403786	1000	0.00234948604992658	23.0474999106161	20.6064247960177	8	2.44107511459832
HUZ695379.AF	35128	172641	1000	0.17816091954023	2.81380725405182	2.3596056912306	31	0.454201562821218
HUZ695379.AF	60481	4799109	1000	0.00166631951676734	27.3735698113847	24.4770263240931	8	2.89654348729154
HUZ695379.AF	62928	4376040	1000	0.00548195523069895	14.5556806159864	13.4690923105124	24	1.08658830547403
HUZ695379.AF	62977	3598621	1000	0.00166666666666667	24.4778764422257	24.4744717693732	6	0.00340467285247215
HUZ695379.AF	69328	5966222	1000	0.00184316353887399	23.2730791104931	23.2711259325118	11	0.00195317798128158
HUZ695379.AF	75379	3462095	1000	0.00721709006928406	13.071485208494	11.728585707733	25	1.34289950076093
HUZ695379.AF	76114	4727255	1000	0.00232607316557412	22.5206933596564	20.7101158516871	11	1.81057750796927
HUZ695379.AF	76869	6078430	1000	0.00164473684210526	26.9948116355597	24.6373669844197	10	2.35744465113996
HUZ695379.AF	78245	5625098	1000	0.00284343344588591	20.9448641948388	18.7266476800663	16	2.21821651477251
HUZ695379.AF	85643	4574586	1000	0.00568181818181818	15.5802873911638	13.228748609816	26	2.35153878134775
HUZ695379.AF	94122	5251146	1000	0.00171330668189606	41.8369837153393	24.138485813877	9	17.6984979014623
HUZ695379.AF	96563	4547930	1000	0.0032974280061552	17.3877292397519	17.3858120720064	15	0.00191716774549278
HUZ695379.AF	101510	9702737	1000	0.00360676009892828	22.3184719000574	16.6209820025928	35	5.69748989746465
HUZ695379.AF	114615	7456587	1000	0.00281576830249397	21.3465065876341	18.818680331239	21	2.52782625639516
HUZ695379.AF	137722	7599738	1000	0.0013156163662676	30.1867501432421	27.5517673038113	10	2.63498283943083
HUZ695379.AF	150340	5089025	1000	0.00333922608524848	21.7881390963543	17.2762959945699	17	4.51184310178448
HUZ695379.AF	155864	5620522	1000	0.00142298114549982	26.4929206455941	26.490561419231	8	0.00235922636314712
HUZ695379.AF	159087	4501104	1000	0.00377526093715301	17.1787810721067	16.2444496317147	17	0.934331440392008
HUZ695379.AF	160488	6181863	1000	0.000970402717127608	37.0570114338559	32.0858203133134	6	4.97119112054254
HUZ695379.AF	160619	140426	1000	0.140845070422535	3.23008903550737	2.68243179291503	20	0.54765724259234
HUZ695379.AF	164756	5920523	1000	0.00337723741979061	21.0529058273766	17.1784702324458	20	3.87443559493082
HUZ695379.AF	176279	2643840	1000	0.00302457466918715	20.3085494529088	18.1555685379669	8	2.15298091494184
HUZ695379.AF	176280	2564615	1000	0.00467653936087295	16.8588812107105	14.5887962429747	12	2.27008496773576
HUZ695379.AF	179408	8272254	1000	0.00410925791636452	16.0218240168483	15.5676852435519	34	0.454138773296451
HUZ695379.AF	187272	3275944	1000	0.00213610009154715	24.5169611385493	21.6134817977078	7	2.90347934084151
HUZ695379.AF	187303	3773444	1000	0.00132450331125828	32.5004586001642	27.4590565746009	5	5.04140202556324
HUZ695379.AF	189918	6256079	1000	0.000798977309044423	41.8511634835745	35.3638215146887	5	6.48734196888576
HUZ695379.AF	190485	5076188	1000	0.00157542339503742	25.1768708868701	25.1743883266341	8	0.00248256023593996
HUZ695379.AF	190650	4016947	1000	0.00174216027874564	30.0203980110001	23.9374139490467	7	6.08298406195345
HUZ695379.AF	195103	3256683	1000	0.00153468385512584	25.5107772201317	25.5068570055143	5	0.00392021461742331
HUZ695379.AF	196162	5293685	1000	0.00188857412653447	25.1896771272298	22.9891241669643	10	2.20055296026546
HUZ695379.AF	196164	3219505	1000	0.00217323812480596	24.3062885864912	21.4276128130674	7	2.8786757734238
HUZ695379.AF	204773	3424307	1000	0.0122591943957968	11.1056435891519	9.08494911102187	42	2.02069447813007
HUZ695379.AF	205913	2389526	1000	0.00501882057716437	17.2626658975725	14.0801142146261	12	3.18255168294641
HUZ695379.AF	205918	6093698	1000	0.00180475799835931	25.5722897350751	23.517881704958	11	2.05440803011717
HUZ695379.AF	205922	6438405	1000	0.00496894409937888	16.222869403754	14.1509663813554	32	2.07190302239857
HUZ695379.AF	208963	6537648	1000	0.00198807157057654	24.0722502771285	22.4053533511963	13	1.66689692593211
HUZ695379.AF	208964	6264404	1000	0.0020746887966805	23.563583303491	21.9317088398917	13	1.63187446359927
HUZ695379.AF	216591	8055782	1000	0.00161350378552811	31.6273589179035	24.875070174222	13	6.75228874368155
HUZ695379.AF	216595	6722539	1000	0.0287031528851874	6.23695286106607	5.89380287325265	193	0.343149987813423
HUZ695379.AF	216596	7751309	1000	0.00154778795305043	27.4383125329112	25.3984884406341	12	2.03982409227707
HUZ695379.AF	220341	5133713	1000	0.0969814995131451	71.5151376414953	3.21271024696628	498	68.302427394529
HUZ695379.AF	220664	7074893	1000	0.00211984171848502	24.4256669085245	21.6963868281052	15	2.72928008041923
HUZ695379.AF	223283	6538260	1000	0.00107033639143731	30.5520611472766	30.5497231277801	7	0.00233801949650214
HUZ695379.AF	223926	5165770	1000	0.00154828720727695	31.112695844649	25.3943858084915	8	5.71831003615756
