Tax.ID	Frequency	Proportion	Total
394	2	NA	NA
882	1	NA	NA
883	1	NA	NA
1148	1	NA	NA
1639	1	NA	NA
2769	5	NA	NA
2787	4	NA	NA
2829	4	NA	NA
2839	16	NA	NA
2850	24	NA	NA
4770	1	NA	NA
4950	3	NA	NA
5061	2	NA	NA
5145	1	NA	NA
5518	2	NA	NA
5661	1	NA	NA
5786	7	NA	NA
5872	1	NA	NA
5911	7	NA	NA
5932	4	NA	NA
10629	35	NA	NA
10632	1	NA	NA
10678	6	NA	NA
13035	3	NA	NA
28072	2	NA	NA
31271	2	NA	NA
31964	22	NA	NA
32049	1	NA	NA
35128	19	NA	NA
36809	4	NA	NA
39717	2	NA	NA
43925	1	NA	NA
43989	3	NA	NA
49266	1	NA	NA
55529	2	NA	NA
59374	6	NA	NA
60481	43	NA	NA
62928	20	NA	NA
62977	14	NA	NA
63186	2	NA	NA
64471	2	NA	NA
65071	1	NA	NA
65093	3	NA	NA
66692	1	NA	NA
69328	6	NA	NA
71421	2	NA	NA
75379	13	NA	NA
76114	11	NA	NA
76869	12	NA	NA
78245	14	NA	NA
79929	2	NA	NA
83406	2	NA	NA
85569	1	NA	NA
85643	27	NA	NA
86416	1	NA	NA
93062	5	NA	NA
94122	9	NA	NA
96563	14	NA	NA
99287	3	NA	NA
100226	8	NA	NA
101510	65	NA	NA
106370	2	NA	NA
107806	1	NA	NA
114615	16	NA	NA
115711	1	NA	NA
122587	7	NA	NA
126793	2	NA	NA
129356	1	NA	NA
134676	8	NA	NA
137722	6	NA	NA
139871	1	NA	NA
151537	1	NA	NA
153948	1	NA	NA
155864	88	NA	NA
156889	1	NA	NA
158189	1	NA	NA
158878	12	NA	NA
158879	5	NA	NA
159087	15	NA	NA
160488	11	NA	NA
160490	2	NA	NA
160492	3	NA	NA
160619	18	NA	NA
164037	1	NA	NA
164756	16	NA	NA
164757	5	NA	NA
167879	1	NA	NA
170187	1	NA	NA
171101	4	NA	NA
172968	1	NA	NA
176279	513	NA	NA
176280	537	NA	NA
176299	1	NA	NA
179408	9	NA	NA
183190	2	NA	NA
187272	13	NA	NA
187303	5	NA	NA
187420	4	NA	NA
189423	2	NA	NA
189918	9	NA	NA
190304	7	NA	NA
190485	30	NA	NA
190486	12	NA	NA
190650	10	NA	NA
192952	1	NA	NA
194439	4	NA	NA
195102	1	NA	NA
195103	15	NA	NA
196162	11	NA	NA
196164	83	NA	NA
196620	3	NA	NA
198214	13	NA	NA
198215	85	NA	NA
199310	9	NA	NA
203119	2	NA	NA
203120	2	NA	NA
203122	1	NA	NA
203123	2	NA	NA
203124	3	NA	NA
203275	8	NA	NA
204536	1	NA	NA
204669	1	NA	NA
204773	32	NA	NA
205913	56	NA	NA
205914	5	NA	NA
205918	7	NA	NA
205922	25	NA	NA
206672	7	NA	NA
207559	4	NA	NA
208435	2	NA	NA
208596	5	NA	NA
208963	45	NA	NA
208964	61	NA	NA
209261	2	NA	NA
210007	2	NA	NA
212717	2	NA	NA
213810	5	NA	NA
214684	11	NA	NA
215689	1	NA	NA
216389	2	NA	NA
216432	4	NA	NA
216591	9	NA	NA
216592	18	NA	NA
216594	3	NA	NA
216595	105	NA	NA
216596	6	NA	NA
216597	36	NA	NA
216599	78	NA	NA
218491	1	NA	NA
220341	12	NA	NA
220664	9	NA	NA
221029	2	NA	NA
223283	10	NA	NA
224911	17	NA	NA
224914	2	NA	NA
226185	48	NA	NA
226186	86	NA	NA
227321	1	NA	NA
227882	11	NA	NA
228405	3	NA	NA
228410	3	NA	NA
229533	2	NA	NA
231023	3	NA	NA
232721	254	NA	NA
234621	992	NA	NA
242231	2	NA	NA
242507	1	NA	NA
242619	1	NA	NA
243230	2	NA	NA
243233	2	NA	NA
243243	6	NA	NA
243265	1	NA	NA
243275	1	NA	NA
243277	1	NA	NA
243365	6	NA	NA
245014	33	NA	NA
245018	81	NA	NA
246196	17	NA	NA
246197	3	NA	NA
246198	11	NA	NA
246200	2	NA	NA
247156	11	NA	NA
257309	7	NA	NA
257310	5	NA	NA
257311	3	NA	NA
257313	4	NA	NA
257314	15	NA	NA
258594	4	NA	NA
259536	57	NA	NA
261292	11	NA	NA
262316	5	NA	NA
262543	3	NA	NA
262724	25	NA	NA
262727	1	NA	NA
262728	2	NA	NA
263358	2	NA	NA
264198	12	NA	NA
264199	5	NA	NA
264203	1	NA	NA
264462	2	NA	NA
264730	11	NA	NA
264731	8	NA	NA
265072	2	NA	NA
265311	1	NA	NA
266117	2	NA	NA
266264	14	NA	NA
266265	8	NA	NA
266779	14	NA	NA
266834	3	NA	NA
266835	7	NA	NA
266940	9	NA	NA
267608	26	NA	NA
267747	5	NA	NA
269482	12	NA	NA
269796	1	NA	NA
269797	8	NA	NA
269798	14	NA	NA
269799	1	NA	NA
269800	7	NA	NA
271848	1	NA	NA
272558	1	NA	NA
272559	13	NA	NA
272561	1	NA	NA
272563	30	NA	NA
272564	1	NA	NA
272568	2	NA	NA
272620	75	NA	NA
272621	49	NA	NA
272622	7	NA	NA
272623	4	NA	NA
272626	1	NA	NA
272630	2	NA	NA
272631	1	NA	NA
272831	8	NA	NA
272942	3	NA	NA
272943	1	NA	NA
272947	1	NA	NA
273121	3	NA	NA
278137	6	NA	NA
278197	4	NA	NA
279238	6	NA	NA
279808	71	NA	NA
280463	4	NA	NA
281090	5	NA	NA
281310	3	NA	NA
284593	3	NA	NA
284811	3	NA	NA
284812	16	NA	NA
285951	1	NA	NA
288000	20	NA	NA
288705	4	NA	NA
289380	6	NA	NA
290317	2	NA	NA
290318	1	NA	NA
290338	9	NA	NA
290339	9	NA	NA
290340	41	NA	NA
290398	1	NA	NA
290399	33	NA	NA
290402	3	NA	NA
291331	6	NA	NA
292414	1	NA	NA
292415	11	NA	NA
292459	1	NA	NA
292564	1	NA	NA
293826	3	NA	NA
294381	1	NA	NA
295405	51	NA	NA
296543	8	NA	NA
296591	100	NA	NA
298386	2	NA	NA
298653	6	NA	NA
298654	2	NA	NA
299768	1	NA	NA
300267	25	NA	NA
300268	27	NA	NA
