Tax.ID	Frequency	Proportion	Total
394	5	7.94898418261844e-08	62901119
882	1	1.58979683652369e-08	62901119
883	2	3.17959367304737e-08	62901119
1148	1	1.58979683652369e-08	62901119
2762	7	1.11285778556658e-07	62901119
2769	4	6.35918734609475e-08	62901119
2771	4	6.35918734609475e-08	62901119
2787	5	7.94898418261844e-08	62901119
2788	1	1.58979683652369e-08	62901119
2839	34	5.40530924418054e-07	62901119
2850	40	6.35918734609475e-07	62901119
2898	3	4.76939050957106e-08	62901119
2903	1	1.58979683652369e-08	62901119
3039	1	1.58979683652369e-08	62901119
3040	1	1.58979683652369e-08	62901119
4770	4	6.35918734609475e-08	62901119
4950	2	3.17959367304737e-08	62901119
4959	1	1.58979683652369e-08	62901119
5061	1	1.58979683652369e-08	62901119
5145	1	1.58979683652369e-08	62901119
5518	8	1.27183746921895e-07	62901119
5661	3	4.76939050957106e-08	62901119
5762	1	1.58979683652369e-08	62901119
5786	4	6.35918734609475e-08	62901119
5823	2	3.17959367304737e-08	62901119
5851	2	3.17959367304737e-08	62901119
5872	2	3.17959367304737e-08	62901119
5885	1	1.58979683652369e-08	62901119
5889	1	1.58979683652369e-08	62901119
5901	2	3.17959367304737e-08	62901119
5905	2	3.17959367304737e-08	62901119
5911	2	3.17959367304737e-08	62901119
5932	2	3.17959367304737e-08	62901119
12353	1	1.58979683652369e-08	62901119
31532	1	1.58979683652369e-08	62901119
31964	8	1.27183746921895e-07	62901119
32051	2	3.17959367304737e-08	62901119
35128	54	8.58490291722791e-07	62901119
35688	2	3.17959367304737e-08	62901119
36809	5	7.94898418261844e-08	62901119
39717	1	1.58979683652369e-08	62901119
40041	1	1.58979683652369e-08	62901119
43925	1	1.58979683652369e-08	62901119
44056	4	6.35918734609475e-08	62901119
44058	1	1.58979683652369e-08	62901119
48483	1	1.58979683652369e-08	62901119
49266	1	1.58979683652369e-08	62901119
52970	6	9.53878101914212e-08	62901119
55529	9	1.43081715287132e-07	62901119
56107	1	1.58979683652369e-08	62901119
59374	2	3.17959367304737e-08	62901119
60480	1	1.58979683652369e-08	62901119
60481	11	1.74877652017606e-07	62901119
62928	23	3.65653272400448e-07	62901119
62977	13	2.06673588748079e-07	62901119
63186	1	1.58979683652369e-08	62901119
63737	2	3.17959367304737e-08	62901119
65071	5	7.94898418261844e-08	62901119
67593	1	1.58979683652369e-08	62901119
69328	13	2.06673588748079e-07	62901119
73025	1	1.58979683652369e-08	62901119
74557	3	4.76939050957106e-08	62901119
75379	22	3.49755304035211e-07	62901119
76114	9	1.43081715287132e-07	62901119
76869	22	3.49755304035211e-07	62901119
78245	25	3.97449209130922e-07	62901119
82654	1	1.58979683652369e-08	62901119
83406	2	3.17959367304737e-08	62901119
85643	22	3.49755304035211e-07	62901119
85962	1	1.58979683652369e-08	62901119
94122	11	1.74877652017606e-07	62901119
96561	3	4.76939050957106e-08	62901119
96563	15	2.38469525478553e-07	62901119
99287	2	3.17959367304737e-08	62901119
100226	8	1.27183746921895e-07	62901119
101510	39	6.20020766244238e-07	62901119
103690	2	3.17959367304737e-08	62901119
106370	3	4.76939050957106e-08	62901119
110662	4	6.35918734609475e-08	62901119
111780	2	3.17959367304737e-08	62901119
114615	33	5.24632956052817e-07	62901119
120807	1	1.58979683652369e-08	62901119
122587	2	3.17959367304737e-08	62901119
126793	3	4.76939050957106e-08	62901119
129356	2	3.17959367304737e-08	62901119
129358	1	1.58979683652369e-08	62901119
134676	3	4.76939050957106e-08	62901119
137722	15	2.38469525478553e-07	62901119
146891	1	1.58979683652369e-08	62901119
153948	1	1.58979683652369e-08	62901119
155864	124	1.97134807728937e-06	62901119
156889	1	1.58979683652369e-08	62901119
158189	1	1.58979683652369e-08	62901119
158190	1	1.58979683652369e-08	62901119
158878	1	1.58979683652369e-08	62901119
158879	1	1.58979683652369e-08	62901119
159087	17	2.70265462209027e-07	62901119
160488	10	1.58979683652369e-07	62901119
160492	3	4.76939050957106e-08	62901119
160619	27	4.29245145861396e-07	62901119
164328	2	3.17959367304737e-08	62901119
164756	23	3.65653272400448e-07	62901119
164757	1	1.58979683652369e-08	62901119
167542	1	1.58979683652369e-08	62901119
167879	3	4.76939050957106e-08	62901119
171101	6	9.53878101914212e-08	62901119
172968	1	1.58979683652369e-08	62901119
176279	19	3.02061398939501e-07	62901119
176280	21	3.33857335669974e-07	62901119
176299	6	9.53878101914212e-08	62901119
177437	3	4.76939050957106e-08	62901119
179408	14	2.22571557113316e-07	62901119
187272	3	4.76939050957106e-08	62901119
187303	6	9.53878101914212e-08	62901119
187420	1	1.58979683652369e-08	62901119
189918	11	1.74877652017606e-07	62901119
190304	1	1.58979683652369e-08	62901119
190485	19	3.02061398939501e-07	62901119
190486	8	1.27183746921895e-07	62901119
190650	6	9.53878101914212e-08	62901119
192952	2	3.17959367304737e-08	62901119
194439	2	3.17959367304737e-08	62901119
195102	1	1.58979683652369e-08	62901119
195103	17	2.70265462209027e-07	62901119
195253	2	3.17959367304737e-08	62901119
196162	17	2.70265462209027e-07	62901119
196164	11	1.74877652017606e-07	62901119
198214	7	1.11285778556658e-07	62901119
198215	44	6.99510608070422e-07	62901119
198628	1	1.58979683652369e-08	62901119
203119	2	3.17959367304737e-08	62901119
203120	3	4.76939050957106e-08	62901119
203122	2	3.17959367304737e-08	62901119
203123	1	1.58979683652369e-08	62901119
203267	2	3.17959367304737e-08	62901119
204536	3	4.76939050957106e-08	62901119
204669	4	6.35918734609475e-08	62901119
204773	65	1.0333679437404e-06	62901119
205913	13	2.06673588748079e-07	62901119
205914	2	3.17959367304737e-08	62901119
205918	14	2.22571557113316e-07	62901119
205920	1	1.58979683652369e-08	62901119
205922	60	9.53878101914212e-07	62901119
207559	7	1.11285778556658e-07	62901119
208435	2	3.17959367304737e-08	62901119
208596	1	1.58979683652369e-08	62901119
208963	32	5.0873498768758e-07	62901119
208964	28	4.45143114226632e-07	62901119
211110	1	1.58979683652369e-08	62901119
211586	3	4.76939050957106e-08	62901119
213775	1	1.58979683652369e-08	62901119
216591	25	3.97449209130922e-07	62901119
216592	2	3.17959367304737e-08	62901119
216594	4	6.35918734609475e-08	62901119
216595	219	3.48165507198688e-06	62901119
216596	9	1.43081715287132e-07	62901119
216599	23	3.65653272400448e-07	62901119
218496	2	3.17959367304737e-08	62901119
220341	131	2.08263385584603e-06	62901119
220664	26	4.13347177496159e-07	62901119
220668	6	9.53878101914212e-08	62901119
223283	13	2.06673588748079e-07	62901119
223926	1	1.58979683652369e-08	62901119
224308	2	3.17959367304737e-08	62901119
224911	35	5.56428892783291e-07	62901119
224914	1	1.58979683652369e-08	62901119
225849	1	1.58979683652369e-08	62901119
226185	1	1.58979683652369e-08	62901119
