Tax.ID	Frequency	Proportion	Total
394	1	1.73377034055029e-08	57677766
882	1	1.73377034055029e-08	57677766
1148	2	3.46754068110058e-08	57677766
2762	4	6.93508136220116e-08	57677766
2769	1	1.73377034055029e-08	57677766
2771	1	1.73377034055029e-08	57677766
2787	5	8.66885170275146e-08	57677766
2832	1	1.73377034055029e-08	57677766
2839	9	1.56039330649526e-07	57677766
2850	15	2.60065551082544e-07	57677766
5762	1	1.73377034055029e-08	57677766
5911	1	1.73377034055029e-08	57677766
31964	1	1.73377034055029e-08	57677766
32051	1	1.73377034055029e-08	57677766
35128	6	1.04026220433017e-07	57677766
43925	1	1.73377034055029e-08	57677766
43926	1	1.73377034055029e-08	57677766
44056	1	1.73377034055029e-08	57677766
44058	2	3.46754068110058e-08	57677766
52970	4	6.93508136220116e-08	57677766
55529	3	5.20131102165087e-08	57677766
59922	2	3.46754068110058e-08	57677766
62928	7	1.2136392383852e-07	57677766
63186	1	1.73377034055029e-08	57677766
63737	2	3.46754068110058e-08	57677766
66692	3	5.20131102165087e-08	57677766
74547	2	3.46754068110058e-08	57677766
75379	4	6.93508136220116e-08	57677766
76114	1	1.73377034055029e-08	57677766
76869	10	1.73377034055029e-07	57677766
85569	2	3.46754068110058e-08	57677766
85643	8	1.38701627244023e-07	57677766
88149	2	3.46754068110058e-08	57677766
94122	1	1.73377034055029e-08	57677766
96563	5	8.66885170275146e-08	57677766
101510	15	2.60065551082544e-07	57677766
103690	1	1.73377034055029e-08	57677766
107806	1	1.73377034055029e-08	57677766
114615	3	5.20131102165087e-08	57677766
120807	2	3.46754068110058e-08	57677766
122587	1	1.73377034055029e-08	57677766
137722	3	5.20131102165087e-08	57677766
159087	5	8.66885170275146e-08	57677766
160619	1	1.73377034055029e-08	57677766
164756	4	6.93508136220116e-08	57677766
176279	9	1.56039330649526e-07	57677766
176280	9	1.56039330649526e-07	57677766
176299	4	6.93508136220116e-08	57677766
179408	2	3.46754068110058e-08	57677766
184922	3	5.20131102165087e-08	57677766
187272	1	1.73377034055029e-08	57677766
187303	1	1.73377034055029e-08	57677766
189423	1	1.73377034055029e-08	57677766
190485	7	1.2136392383852e-07	57677766
190486	3	5.20131102165087e-08	57677766
190650	5	8.66885170275146e-08	57677766
194439	2	3.46754068110058e-08	57677766
195102	1	1.73377034055029e-08	57677766
195103	5	8.66885170275146e-08	57677766
196162	1	1.73377034055029e-08	57677766
196164	2	3.46754068110058e-08	57677766
198804	1	1.73377034055029e-08	57677766
203124	3	5.20131102165087e-08	57677766
204773	4	6.93508136220116e-08	57677766
205913	1	1.73377034055029e-08	57677766
205922	3	5.20131102165087e-08	57677766
208963	16	2.77403254488047e-07	57677766
208964	8	1.38701627244023e-07	57677766
214684	2	3.46754068110058e-08	57677766
216591	7	1.2136392383852e-07	57677766
216595	10	1.73377034055029e-07	57677766
216596	1	1.73377034055029e-08	57677766
216599	2	3.46754068110058e-08	57677766
220341	10	1.73377034055029e-07	57677766
220664	1	1.73377034055029e-08	57677766
220668	1	1.73377034055029e-08	57677766
224308	2	3.46754068110058e-08	57677766
224911	4	6.93508136220116e-08	57677766
225937	3	5.20131102165087e-08	57677766
228410	2	3.46754068110058e-08	57677766
231023	1	1.73377034055029e-08	57677766
232721	136	2.3579276631484e-06	57677766
234621	231	4.00500948667117e-06	57677766
243233	1	1.73377034055029e-08	57677766
243243	2	3.46754068110058e-08	57677766
243277	1	1.73377034055029e-08	57677766
243365	1	1.73377034055029e-08	57677766
246196	1	1.73377034055029e-08	57677766
246198	1	1.73377034055029e-08	57677766
247156	1	1.73377034055029e-08	57677766
251221	1	1.73377034055029e-08	57677766
257310	2	3.46754068110058e-08	57677766
257313	2	3.46754068110058e-08	57677766
261292	1	1.73377034055029e-08	57677766
262724	15	2.60065551082544e-07	57677766
264198	2	3.46754068110058e-08	57677766
264203	1	1.73377034055029e-08	57677766
264730	1	1.73377034055029e-08	57677766
265072	6	1.04026220433017e-07	57677766
266264	13	2.25390144271538e-07	57677766
266265	2	3.46754068110058e-08	57677766
266779	1	1.73377034055029e-08	57677766
266834	1	1.73377034055029e-08	57677766
266835	3	5.20131102165087e-08	57677766
267608	13	2.25390144271538e-07	57677766
267747	9	1.56039330649526e-07	57677766
269482	3	5.20131102165087e-08	57677766
269800	3	5.20131102165087e-08	57677766
271848	1	1.73377034055029e-08	57677766
